"LTER_site","local_site","logger","date","year","jday","airtemp_max","flag_airtemp_max","airtemp_min","flag_airtemp_min","airtemp_avg","flag_airtemp_avg","rh_max","flag_rh_max","rh_min","flag_rh_min","rh_avg","flag_rh_avg","bp_max","flag_bp_max","bp_min","flag_bp_min","bp_avg","flag_bp_avg","ws_max","flag_ws_max","ws_min","flag_ws_min","ws_avg","flag_ws_avg","wd","flag_wd","solrad_avg","flag_solrad_avg","solrad_tot","flag_solrad_tot","soiltemp_5cm_avg","flag_soiltemp_5cm_avg","soilmoist_5cm_avg","flag_soilmoist_5cm_avg","airtemp_hmp1_max","flag_airtemp_hmp1_max","airtemp_hmp1_min","flag_airtemp_hmp1_min","airtemp_hmp1_avg","flag_airtemp_hmp1_avg","airtemp_hmp2_max","flag_airtemp_hmp2_max","airtemp_hmp2_min","flag_airtemp_hmp2_min","airtemp_hmp2_avg","flag_airtemp_hmp2_avg","airtemp_hmp3_max","flag_airtemp_hmp3_max","airtemp_hmp3_min","flag_airtemp_hmp3_min","airtemp_hmp3_avg","flag_airtemp_hmp3_avg","rh_hmp1_max","flag_rh_hmp1_max","rh_hmp1_min","flag_rh_hmp1_min","rh_hmp1_avg","flag_rh_hmp1_avg","rh_hmp2_max","flag_rh_hmp2_max","rh_hmp2_min","flag_rh_hmp2_min","rh_hmp2_avg","flag_rh_hmp2_avg","rh_hmp3_max","flag_rh_hmp3_max","rh_hmp3_min","flag_rh_hmp3_min","rh_hmp3_avg","flag_rh_hmp3_avg"
"NWT","d1","cr23x",2000-07-15,2000,197,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-16,2000,198,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-17,2000,199,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-18,2000,200,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-19,2000,201,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-20,2000,202,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-21,2000,203,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-22,2000,204,14.96,"n",4.195,"n",9.23,"n",99.8,"n",25.24,"n",66.79,"n",657,"n",654,"n",655.7,"n",11.25,"n",0,"n",3.246,"n",177.5,"n",NaN,"n",22.78,"n",9.7,"n",0.257,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-23,2000,205,17.7,"n",8.88,"n",12.96,"n",37.61,"n",13.08,"n",25.12,"n",657.7,"n",655.4,"n",656.7,"n",16.72,"n",0.02,"n",4.779,"n",294.6,"n",NaN,"n",27.25,"n",9.98,"n",0.24,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-24,2000,206,16.47,"n",7.06,"n",11.03,"n",76.4,"n",27.31,"n",43.62,"n",655.7,"n",653.7,"n",654.7,"n",22.89,"n",0.039,"n",7.61,"n",270.6,"n",NaN,"n",23.85,"n",9.77,"n",0.224,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-25,2000,207,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-26,2000,208,16.2,"n",7.62,"n",10.56,"n",78.8,"n",34.1,"n",55.36,"n",655.1,"n",653,"n",654.1,"n",11.74,"n",0.039,"n",4.335,"n",231.1,"n",NaN,"n",20.38,"n",9.25,"n",0.212,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-27,2000,209,16.29,"n",8.1,"n",11.48,"n",69.5,"n",31.9,"n",51.28,"n",655.8,"n",653.4,"n",654.8,"n",18.19,"n",0.039,"n",5.39,"n",277.7,"n",NaN,"n",24.9,"n",9.63,"n",0.223,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-28,2000,210,15.35,"n",5.966,"n",10.18,"n",100,"n",30.65,"n",65.71,"n",656.8,"n",654.5,"n",655.8,"n",13.21,"n",0.039,"n",3.565,"n",0.491,"n",NaN,"n",20.99,"n",10.15,"n",0.21,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-29,2000,211,15.12,"n",6.166,"n",9.66,"n",90.4,"n",27.32,"n",53.2,"n",657,"n",654.9,"n",656.1,"n",12.37,"n",0.039,"n",4.331,"n",41.84,"n",NaN,"n",29.14,"n",10.12,"n",0.201,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-30,2000,212,13.57,"n",5.44,"n",9.25,"n",91.2,"n",31.44,"n",59.01,"n",657,"n",655.1,"n",656.2,"n",12.68,"n",0.02,"n",3.675,"n",65.88,"n",NaN,"n",27.39,"n",9.95,"n",0.188,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-07-31,2000,213,15.19,"n",5.344,"n",10.45,"n",91.3,"n",17.35,"n",39.17,"n",657.4,"n",655.3,"n",656.6,"n",14.15,"n",0,"n",4.919,"n",38.89,"n",NaN,"n",29.78,"n",10.23,"n",0.175,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-01,2000,214,17.16,"n",7.87,"n",12.19,"n",71.4,"n",29.99,"n",42.83,"n",657.2,"n",655.4,"n",656.4,"n",14.15,"n",0,"n",4.233,"n",283.9,"n",NaN,"n",19.42,"n",9.87,"n",0.164,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-02,2000,215,18.53,"n",8.48,"n",12.16,"n",75.2,"n",27.46,"n",47.25,"n",656,"n",653.9,"n",655.2,"n",23.93,"n",0.039,"n",6.56,"n",268.7,"n",NaN,"n",18.4,"n",10.26,"n",0.154,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-03,2000,216,16.95,"n",8.27,"n",11.55,"n",74.2,"n",36.29,"n",53.74,"n",656.1,"n",654.3,"n",655.2,"n",13.97,"n",0.078,"n",5.369,"n",238.1,"n",NaN,"n",15.26,"n",9.81,"n",0.148,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-04,2000,217,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-05,2000,218,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-06,2000,219,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-07,2000,220,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-08,2000,221,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-09,2000,222,NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-10,2000,223,18.14,"n",8.78,"n",12.15,"n",75.9,"n",20.08,"n",46.8,"n",656,"n",654,"n",655.1,"n",11.54,"n",0.02,"n",5.392,"n",229.6,"n",NaN,"n",23.14,"n",11.77,"n",0.112,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-11,2000,224,18.33,"n",8.59,"n",12.07,"n",68.83,"n",29.65,"n",53.37,"n",655.8,"n",653.6,"n",654.9,"n",15.09,"n",0,"n",5.587,"n",260.6,"n",NaN,"n",22.18,"n",11.57,"n",0.109,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-12,2000,225,12.76,"n",5.474,"n",9.62,"n",99.7,"n",40.1,"n",63.01,"n",657.1,"n",654.5,"n",655.5,"n",14.86,"n",0.039,"n",5.584,"n",208.8,"n",NaN,"n",10.18,"n",9.17,"n",0.134,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-13,2000,226,16.73,"n",6.913,"n",10.69,"n",73.1,"n",37.45,"n",57.12,"n",654.7,"n",652.7,"n",653.7,"n",11.37,"n",0,"n",3.484,"n",187.9,"n",NaN,"n",19.73,"n",10.06,"n",0.148,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-14,2000,227,16.06,"n",9.3,"n",11.62,"n",52.61,"n",32.84,"n",42.9,"n",656.9,"n",652.9,"n",655.1,"n",14.11,"n",0.039,"n",5.841,"n",246.3,"n",NaN,"n",15.47,"n",9.51,"n",0.137,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-15,2000,228,17.15,"n",6.532,"n",10.78,"n",100,"n",38.87,"n",60.84,"n",658.3,"n",655.6,"n",657.1,"n",17.89,"n",0.039,"n",4.012,"n",237.7,"n",NaN,"n",16.03,"n",9.77,"n",0.156,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-16,2000,229,13.95,"n",5.212,"n",8.23,"n",98.9,"n",56.64,"n",77.9,"n",656.4,"n",654.5,"n",655.7,"n",20.56,"n",0.098,"n",8.94,"n",273.7,"n",NaN,"n",16.86,"n",9.12,"n",0.208,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-17,2000,230,9.74,"n",3.114,"n",5.477,"n",100,"n",73.2,"n",94.4,"n",656.1,"n",653.9,"n",655.1,"n",26.62,"n",0,"n",3.662,"n",166.4,"n",NaN,"n",11.9,"n",7.68,"n",0.256,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-18,2000,231,11.34,"n",3.705,"n",7.09,"n",100,"n",66.25,"n",84,"n",654.2,"n",651,"n",652.7,"n",20.11,"n",0.039,"n",7.95,"n",258.5,"n",NaN,"n",16.56,"n",7.97,"n",0.292,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
"NWT","d1","cr23x",2000-08-19,2000,232,14.97,"n",2.819,"n",7.96,"n",100,"n",31.29,"n",67.73,"n",654.5,"n",650.8,"n",653.2,"n",22.76,"n",0.216,"n",8.63,"n",268.5,"n",NaN,"n",28.35,"n",9.13,"n",0.27,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"m",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n",NaN,"m",NaN,"n",NaN,"n"
