"LTER_site","local_site","logger","date","airtemp_max","airtemp_min","airtemp_avg","Year","Month","airtemp_max_interpolated","airtemp_min_interpolated","airtemp_avg_interpolated"
"NWT","d1","cr23x",2008-01-20,-8.78,-15.51,-12.4,2008,1,-8.78,-15.51,-12.4
"NWT","d1","cr23x",2008-01-21,-11.99,-17.48,-14.72,2008,1,-11.99,-17.48,-14.72
"NWT","d1","cr23x",2008-01-22,-16.18,-18.91,-17.42,2008,1,-16.18,-18.91,-17.42
"NWT","d1","cr23x",2008-01-23,-12.09,-19.24,-16.17,2008,1,-12.09,-19.24,-16.17
"NWT","d1","cr23x",2008-01-24,-4.136,-13.52,-10.06,2008,1,-4.136,-13.52,-10.06
"NWT","d1","cr23x",2008-01-25,-12.08,-16.26,-14.55,2008,1,-12.08,-16.26,-14.55
"NWT","d1","cr23x",2008-01-26,-8.87,-14.88,-11.99,2008,1,-8.87,-14.88,-11.99
"NWT","d1","cr23x",2008-01-27,-2.425,-10.37,-5.782,2008,1,-2.425,-10.37,-5.782
"NWT","d1","cr23x",2008-01-28,-5.169,-23.58,-12.09,2008,1,-5.169,-23.58,-12.09
"NWT","d1","cr23x",2008-01-29,-13.85,-26.13,-21.92,2008,1,-13.85,-26.13,-21.92
"NWT","d1","cr23x",2008-01-30,-15.97,-24.46,-20.11,2008,1,-15.97,-24.46,-20.11
"NWT","d1","cr23x",2008-01-31,-13.05,-25.92,-20.13,2008,1,-13.05,-25.92,-20.13
"NWT","d1","cr23x",2008-02-01,-12.09,-21.44,-15.55,2008,2,-12.09,-21.44,-15.55
"NWT","d1","cr23x",2008-02-02,-15.08,-21.48,-18.35,2008,2,-15.08,-21.48,-18.35
"NWT","d1","cr23x",2008-02-03,-9.47,-18.84,-13.86,2008,2,-9.47,-18.84,-13.86
"NWT","d1","cr23x",2008-02-04,-12.15,-17.49,-14.62,2008,2,-12.15,-17.49,-14.62
"NWT","d1","cr23x",2008-02-05,-16.66,-22.64,-19.52,2008,2,-16.66,-22.64,-19.52
"NWT","d1","cr23x",2008-02-06,-12.45,-23.5,-18.73,2008,2,-12.45,-23.5,-18.73
"NWT","d1","cr23x",2008-02-07,-12.91,-23.8,-18.05,2008,2,-12.91,-23.8,-18.05
"NWT","d1","cr23x",2008-02-08,-15.81,-19.77,-17.82,2008,2,-15.81,-19.77,-17.82
"NWT","d1","cr23x",2008-02-09,-9.57,-16.51,-12.29,2008,2,-9.57,-16.51,-12.29
"NWT","d1","cr23x",2008-02-10,-6.727,-11.66,-9.64,2008,2,-6.727,-11.66,-9.64
"NWT","d1","cr23x",2008-02-11,-10.04,-15.46,-12.4,2008,2,-10.04,-15.46,-12.4
"NWT","d1","cr23x",2008-02-12,-10.63,-15.22,-12.78,2008,2,-10.63,-15.22,-12.78
"NWT","d1","cr23x",2008-02-13,-2.921,-10.96,-7.28,2008,2,-2.921,-10.96,-7.28
"NWT","d1","cr23x",2008-02-14,0.672,-16.69,-10.8,2008,2,0.672,-16.69,-10.8
"NWT","d1","cr23x",2008-02-15,-4.861,-12.27,-9.44,2008,2,-4.861,-12.27,-9.44
"NWT","d1","cr23x",2008-02-16,-7.36,-16.95,-11.49,2008,2,-7.36,-16.95,-11.49
"NWT","d1","cr23x",2008-02-17,-12.82,-21.11,-17.94,2008,2,-12.82,-21.11,-17.94
"NWT","d1","cr23x",2008-02-18,-12.6,-19.94,-16.17,2008,2,-12.6,-19.94,-16.17
"NWT","d1","cr23x",2008-02-19,NA,-14.15,-8.33,2008,2,-7.6695,-14.15,-8.33
"NWT","d1","cr23x",2008-02-20,-2.739,-10.32,-7.64,2008,2,-2.739,-10.32,-7.64
"NWT","d1","cr23x",2008-02-21,-5.121,-12.97,-9.88,2008,2,-5.121,-12.97,-9.88
"NWT","d1","cr23x",2008-02-22,-7.35,-13.63,-11.04,2008,2,-7.35,-13.63,-11.04
"NWT","d1","cr23x",2008-02-23,-6.724,-12.77,-10.76,2008,2,-6.724,-12.77,-10.76
"NWT","d1","cr23x",2008-02-24,-5.452,-12.87,-8.27,2008,2,-5.452,-12.87,-8.27
"NWT","d1","cr23x",2008-02-25,-9.98,-13.63,-12.29,2008,2,-9.98,-13.63,-12.29
"NWT","d1","cr23x",2008-02-26,-10.92,-14.92,-12.93,2008,2,-10.92,-14.92,-12.93
"NWT","d1","cr23x",2008-02-27,-5.633,-13.33,-8.95,2008,2,-5.633,-13.33,-8.95
"NWT","d1","cr23x",2008-02-28,-5.283,-11.84,-8.59,2008,2,-5.283,-11.84,-8.59
"NWT","d1","cr23x",2008-02-29,0.83,-11.6,-6.382,2008,2,0.83,-11.6,-6.382
"NWT","d1","cr23x",2008-03-01,1.555,-6.211,-2.849,2008,3,1.555,-6.211,-2.849
"NWT","d1","cr23x",2008-03-02,-5.578,-20.84,-15.39,2008,3,-5.578,-20.84,-15.39
"NWT","d1","cr23x",2008-03-03,-11.36,-21.31,-16.46,2008,3,-11.36,-21.31,-16.46
"NWT","d1","cr23x",2008-03-04,-10.83,-19.81,-15.44,2008,3,-10.83,-19.81,-15.44
"NWT","d1","cr23x",2008-03-05,-10.42,-20.74,-17.23,2008,3,-10.42,-20.74,-17.23
"NWT","d1","cr23x",2008-03-06,-16.56,-21.57,-19.44,2008,3,-16.56,-21.57,-19.44
"NWT","d1","cr23x",2008-03-07,-10.22,-19.07,-14.57,2008,3,-10.22,-19.07,-14.57
"NWT","d1","cr23x",2008-03-08,-8.36,-14.32,-12.12,2008,3,-8.36,-14.32,-12.12
"NWT","d1","cr23x",2008-03-09,-2.634,-15.6,-10.53,2008,3,-2.634,-15.6,-10.53
"NWT","d1","cr23x",2008-03-10,-6.118,-12.8,-10.05,2008,3,-6.118,-12.8,-10.05
"NWT","d1","cr23x",2008-03-11,-1.297,-12.01,-6.359,2008,3,-1.297,-12.01,-6.359
"NWT","d1","cr23x",2008-03-12,-6.065,-12.87,-9.69,2008,3,-6.065,-12.87,-9.69
"NWT","d1","cr23x",2008-03-13,-8.98,-14.36,-11.2,2008,3,-8.98,-14.36,-11.2
"NWT","d1","cr23x",2008-03-14,-9.82,-16.16,-13.16,2008,3,-9.82,-16.16,-13.16
"NWT","d1","cr23x",2008-03-15,-8.38,-17.28,-13.49,2008,3,-8.38,-17.28,-13.49
"NWT","d1","cr23x",2008-03-16,-6.541,-14.29,-11.21,2008,3,-6.541,-14.29,-11.21
"NWT","d1","cr23x",2008-03-17,-1.496,-15.97,-11.72,2008,3,-1.496,-15.97,-11.72
"NWT","d1","cr23x",2008-03-18,-11.48,-17.09,-14.21,2008,3,-11.48,-17.09,-14.21
"NWT","d1","cr23x",2008-03-19,-5.62,-13.06,-9.26,2008,3,-5.62,-13.06,-9.26
"NWT","d1","cr23x",2008-03-20,-4.632,-12.11,-8.57,2008,3,-4.632,-12.11,-8.57
"NWT","d1","cr23x",2008-03-21,-8.92,-12.7,-11.36,2008,3,-8.92,-12.7,-11.36
"NWT","d1","cr23x",2008-03-22,-9.97,-16.94,-14.08,2008,3,-9.97,-16.94,-14.08
"NWT","d1","cr23x",2008-03-23,-8.93,-17.09,-12.86,2008,3,-8.93,-17.09,-12.86
"NWT","d1","cr23x",2008-03-24,-2.36,-10.57,-6.795,2008,3,-2.36,-10.57,-6.795
"NWT","d1","cr23x",2008-03-25,-2.357,-6.264,-4.669,2008,3,-2.357,-6.264,-4.669
"NWT","d1","cr23x",2008-03-26,-0.362,-6.142,-3.881,2008,3,-0.362,-6.142,-3.881
"NWT","d1","cr23x",2008-03-27,-5.809,-13.78,-8.96,2008,3,-5.809,-13.78,-8.96
"NWT","d1","cr23x",2008-03-28,-6.635,-13.97,-9.49,2008,3,-6.635,-13.97,-9.49
"NWT","d1","cr23x",2008-03-29,-4.387,-8.09,-6.392,2008,3,-4.387,-8.09,-6.392
"NWT","d1","cr23x",2008-03-30,-1.759,-11.48,-6.445,2008,3,-1.759,-11.48,-6.445
"NWT","d1","cr23x",2008-03-31,-8.23,-20.75,-13.74,2008,3,-8.23,-20.75,-13.74
"NWT","d1","cr23x",2008-04-01,-8.73,-20.55,-12.7,2008,4,-8.73,-20.55,-12.7
"NWT","d1","cr23x",2008-04-02,-2.565,-10.61,-7.4,2008,4,-2.565,-10.61,-7.4
"NWT","d1","cr23x",2008-04-03,-8.53,-15.43,-11.55,2008,4,-8.53,-15.43,-11.55
"NWT","d1","cr23x",2008-04-04,-5.819,-15.16,-9.78,2008,4,-5.819,-15.16,-9.78
"NWT","d1","cr23x",2008-04-05,-5.083,-13.55,-8.25,2008,4,-5.083,-13.55,-8.25
"NWT","d1","cr23x",2008-04-06,-8.01,-15.43,-11.25,2008,4,-8.01,-15.43,-11.25
"NWT","d1","cr23x",2008-04-07,-5.892,-13.08,-10.33,2008,4,-5.892,-13.08,-10.33
"NWT","d1","cr23x",2008-04-08,-5.781,-15.1,-11.16,2008,4,-5.781,-15.1,-11.16
"NWT","d1","cr23x",2008-04-09,-0.015,-10.48,-6.649,2008,4,-0.015,-10.48,-6.649
"NWT","d1","cr23x",2008-04-10,-8.53,-13.24,-10.91,2008,4,-8.53,-13.24,-10.91
"NWT","d1","cr23x",2008-04-11,-9.19,-17.03,-14.17,2008,4,-9.19,-17.03,-14.17
"NWT","d1","cr23x",2008-04-12,-10.38,-17.09,-13.17,2008,4,-10.38,-17.09,-13.17
"NWT","d1","cr23x",2008-04-13,-1.549,-11.3,-5.965,2008,4,-1.549,-11.3,-5.965
"NWT","d1","cr23x",2008-04-14,2.93,-5.067,-1.032,2008,4,2.93,-5.067,-1.032
"NWT","d1","cr23x",2008-04-15,6.276,-8.62,1.016,2008,4,6.276,-8.62,1.016
"NWT","d1","cr23x",2008-04-16,-5.441,-14.34,-11.68,2008,4,-5.441,-14.34,-11.68
"NWT","d1","cr23x",2008-04-17,-7.56,-15.83,-12.6,2008,4,-7.56,-15.83,-12.6
"NWT","d1","cr23x",2008-04-18,-2.331,-12.37,-6.935,2008,4,-2.331,-12.37,-6.935
"NWT","d1","cr23x",2008-04-19,6.494,-4.239,0.443,2008,4,6.494,-4.239,0.443
"NWT","d1","cr23x",2008-04-20,2.466,-7.55,-2.519,2008,4,2.466,-7.55,-2.519
"NWT","d1","cr23x",2008-04-21,-2.75,-9.74,-6.668,2008,4,-2.75,-9.74,-6.668
"NWT","d1","cr23x",2008-04-22,4.01,-9.76,-3.01,2008,4,4.01,-9.76,-3.01
"NWT","d1","cr23x",2008-04-23,7.2,-3.73,0.554,2008,4,7.2,-3.73,0.554
"NWT","d1","cr23x",2008-04-24,3.051,-13.85,-4.764,2008,4,3.051,-13.85,-4.764
"NWT","d1","cr23x",2008-04-25,-9.17,-15.81,-12.21,2008,4,-9.17,-15.81,-12.21
"NWT","d1","cr23x",2008-04-26,-11.01,-15.33,-12.85,2008,4,-11.01,-15.33,-12.85
"NWT","d1","cr23x",2008-04-27,-1.798,-14.19,-8.37,2008,4,-1.798,-14.19,-8.37
"NWT","d1","cr23x",2008-04-28,2.114,-6.358,-2.302,2008,4,2.114,-6.358,-2.302
"NWT","d1","cr23x",2008-04-29,5.803,-2.092,1.323,2008,4,5.803,-2.092,1.323
"NWT","d1","cr23x",2008-04-30,8.01,-6.062,0.896,2008,4,8.01,-6.062,0.896
"NWT","d1","cr23x",2008-05-01,-5.428,-14.17,-11.23,2008,5,-5.428,-14.17,-11.23
"NWT","d1","cr23x",2008-05-02,-10.62,-14.43,-12.7,2008,5,-10.62,-14.43,-12.7
"NWT","d1","cr23x",2008-05-03,-1.198,-12.63,-5.662,2008,5,-1.198,-12.63,-5.662
"NWT","d1","cr23x",2008-05-04,3.444,-7.17,-2.69,2008,5,3.444,-7.17,-2.69
"NWT","d1","cr23x",2008-05-05,7.16,-2.757,1.289,2008,5,7.16,-2.757,1.289
"NWT","d1","cr23x",2008-05-06,8.4,-2.415,2.128,2008,5,8.4,-2.415,2.128
"NWT","d1","cr23x",2008-05-07,4.863,-4.196,-0.968,2008,5,4.863,-4.196,-0.968
"NWT","d1","cr23x",2008-05-08,-2.813,-6.473,-4.675,2008,5,-2.813,-6.473,-4.675
"NWT","d1","cr23x",2008-05-09,1.226,-6.634,-3.518,2008,5,1.226,-6.634,-3.518
"NWT","d1","cr23x",2008-05-10,-5.621,-12.16,-9.18,2008,5,-5.621,-12.16,-9.18
"NWT","d1","cr23x",2008-05-11,4.186,-7.55,-1.697,2008,5,4.186,-7.55,-1.697
"NWT","d1","cr23x",2008-05-12,6.192,-7.15,-0.64,2008,5,6.192,-7.15,-0.64
"NWT","d1","cr23x",2008-05-13,-2.633,-9.8,-6.715,2008,5,-2.633,-9.8,-6.715
"NWT","d1","cr23x",2008-05-14,-1.09,-8.9,-5.222,2008,5,-1.09,-8.9,-5.222
"NWT","d1","cr23x",2008-05-15,-0.533,-8,-5.629,2008,5,-0.533,-8,-5.629
"NWT","d1","cr23x",2008-05-16,3.059,-7.02,-1.617,2008,5,3.059,-7.02,-1.617
"NWT","d1","cr23x",2008-05-17,7.55,-1.698,2.67,2008,5,7.55,-1.698,2.67
"NWT","d1","cr23x",2008-05-18,7.51,1.146,4.359,2008,5,7.51,1.146,4.359
"NWT","d1","cr23x",2008-05-19,9.75,0.591,5.423,2008,5,9.75,0.591,5.423
"NWT","d1","cr23x",2008-05-20,12.53,0.264,6.695,2008,5,12.53,0.264,6.695
"NWT","d1","cr23x",2008-05-21,11.02,0.627,6.269,2008,5,11.02,0.627,6.269
"NWT","d1","cr23x",2008-05-22,0.995,-5.453,-2.239,2008,5,0.995,-5.453,-2.239
"NWT","d1","cr23x",2008-05-23,-0.338,-7.45,-3.998,2008,5,-0.338,-7.45,-3.998
"NWT","d1","cr23x",2008-05-24,0.393,-8.3,-4.64,2008,5,0.393,-8.3,-4.64
"NWT","d1","cr23x",2008-05-25,6.01,-5.346,-0.233,2008,5,6.01,-5.346,-0.233
"NWT","d1","cr23x",2008-05-26,1.353,-2.873,-1.21,2008,5,1.353,-2.873,-1.21
"NWT","d1","cr23x",2008-05-27,2.235,-4.256,-1.673,2008,5,2.235,-4.256,-1.673
"NWT","d1","cr23x",2008-05-28,10.15,-1.714,4.54,2008,5,10.15,-1.714,4.54
"NWT","d1","cr23x",2008-05-29,7.67,-0.298,3.416,2008,5,7.67,-0.298,3.416
"NWT","d1","cr23x",2008-05-30,9.15,-2.07,2.359,2008,5,9.15,-2.07,2.359
"NWT","d1","cr23x",2008-05-31,11.27,-0.593,4.236,2008,5,11.27,-0.593,4.236
"NWT","d1","cr23x",2008-06-01,13.32,3.159,7.24,2008,6,13.32,3.159,7.24
"NWT","d1","cr23x",2008-06-02,13.78,5.061,8.37,2008,6,13.78,5.061,8.37
"NWT","d1","cr23x",2008-06-03,7.77,0.171,3.695,2008,6,7.77,0.171,3.695
"NWT","d1","cr23x",2008-06-04,6.841,-1.756,2.328,2008,6,6.841,-1.756,2.328
"NWT","d1","cr23x",2008-06-05,-1.172,-3.377,-2.325,2008,6,-1.172,-3.377,-2.325
"NWT","d1","cr23x",2008-06-06,6.561,-5.051,0.353,2008,6,6.561,-5.051,0.353
"NWT","d1","cr23x",2008-06-07,9.15,-2.357,4.054,2008,6,9.15,-2.357,4.054
"NWT","d1","cr23x",2008-06-08,0.26,-6.586,-3.745,2008,6,0.26,-6.586,-3.745
"NWT","d1","cr23x",2008-06-09,4.836,-6.006,-0.637,2008,6,4.836,-6.006,-0.637
"NWT","d1","cr23x",2008-06-10,13.04,0.921,6.876,2008,6,13.04,0.921,6.876
"NWT","d1","cr23x",2008-06-11,7.09,-6.366,-3.281,2008,6,7.09,-6.366,-3.281
"NWT","d1","cr23x",2008-06-12,0.608,-7.97,-3.874,2008,6,0.608,-7.97,-3.874
"NWT","d1","cr23x",2008-06-13,7.49,-6.474,0.675,2008,6,7.49,-6.474,0.675
"NWT","d1","cr23x",2008-06-14,12.08,1.444,6.396,2008,6,12.08,1.444,6.396
"NWT","d1","cr23x",2008-06-15,14.97,5.342,9.28,2008,6,14.97,5.342,9.28
"NWT","d1","cr23x",2008-06-16,14.11,4.872,8.53,2008,6,14.11,4.872,8.53
"NWT","d1","cr23x",2008-06-17,13.91,5.373,9.21,2008,6,13.91,5.373,9.21
"NWT","d1","cr23x",2008-06-18,14.84,2.471,8.04,2008,6,14.84,2.471,8.04
"NWT","d1","cr23x",2008-06-19,12.06,0.138,6.824,2008,6,12.06,0.138,6.824
"NWT","d1","cr23x",2008-06-20,12.41,2.962,7.23,2008,6,12.41,2.962,7.23
"NWT","d1","cr23x",2008-06-21,13.23,2.045,7.44,2008,6,13.23,2.045,7.44
"NWT","d1","cr23x",2008-06-22,14.47,3.604,8.45,2008,6,14.47,3.604,8.45
"NWT","d1","cr23x",2008-06-23,12.57,2.791,7,2008,6,12.57,2.791,7
"NWT","d1","cr23x",2008-06-24,13.92,4.152,7.78,2008,6,13.92,4.152,7.78
"NWT","d1","cr23x",2008-06-25,15.02,5.108,9.25,2008,6,15.02,5.108,9.25
"NWT","d1","cr23x",2008-06-26,14.42,6.145,9.37,2008,6,14.42,6.145,9.37
"NWT","d1","cr23x",2008-06-27,14.34,6.302,9.75,2008,6,14.34,6.302,9.75
"NWT","d1","cr23x",2008-06-28,11.3,1.317,6.537,2008,6,11.3,1.317,6.537
"NWT","d1","cr23x",2008-06-29,13.58,-0.001,7.52,2008,6,13.58,-0.001,7.52
"NWT","d1","cr23x",2008-06-30,16.75,6.515,10.09,2008,6,16.75,6.515,10.09
"NWT","d1","cr23x",2008-07-01,14.18,5.774,9.05,2008,7,14.18,5.774,9.05
"NWT","d1","cr23x",2008-07-02,15.27,3.815,8.65,2008,7,15.27,3.815,8.65
"NWT","d1","cr23x",2008-07-03,15.3,6.367,9.08,2008,7,15.3,6.367,9.08
"NWT","d1","cr23x",2008-07-04,16.94,7.2,11.42,2008,7,16.94,7.2,11.42
"NWT","d1","cr23x",2008-07-05,16.71,6.287,10.29,2008,7,16.71,6.287,10.29
"NWT","d1","cr23x",2008-07-06,10.88,3.749,7.33,2008,7,10.88,3.749,7.33
"NWT","d1","cr23x",2008-07-07,11.51,2.743,5.523,2008,7,11.51,2.743,5.523
"NWT","d1","cr23x",2008-07-08,12.34,4.312,7.83,2008,7,12.34,4.312,7.83
"NWT","d1","cr23x",2008-07-09,15.53,5.72,10.46,2008,7,15.53,5.72,10.46
"NWT","d1","cr23x",2008-07-10,16.15,8.18,11.91,2008,7,16.15,8.18,11.91
"NWT","d1","cr23x",2008-07-11,16.18,3.482,10.83,2008,7,16.18,3.482,10.83
"NWT","d1","cr23x",2008-07-12,12.85,3.623,8.12,2008,7,12.85,3.623,8.12
"NWT","d1","cr23x",2008-07-13,15.91,3.664,10.37,2008,7,15.91,3.664,10.37
"NWT","d1","cr23x",2008-07-14,15.67,7.79,10.91,2008,7,15.67,7.79,10.91
"NWT","d1","cr23x",2008-07-15,16.32,6.485,11.56,2008,7,16.32,6.485,11.56
"NWT","d1","cr23x",2008-07-16,18.26,7.5,11.79,2008,7,18.26,7.5,11.79
"NWT","d1","cr23x",2008-07-17,11.52,5.258,7.75,2008,7,11.52,5.258,7.75
"NWT","d1","cr23x",2008-07-18,15.29,5.102,9.87,2008,7,15.29,5.102,9.87
"NWT","d1","cr23x",2008-07-19,17.92,7.44,12.08,2008,7,17.92,7.44,12.08
"NWT","d1","cr23x",2008-07-20,17.5,9.56,12.85,2008,7,17.5,9.56,12.85
"NWT","d1","cr23x",2008-07-21,16.37,6.779,11.11,2008,7,16.37,6.779,11.11
"NWT","d1","cr23x",2008-07-22,15.56,6.68,11.66,2008,7,15.56,6.68,11.66
"NWT","d1","cr23x",2008-07-23,13.32,6.221,10.11,2008,7,13.32,6.221,10.11
"NWT","d1","cr23x",2008-07-24,17.12,7.22,11.08,2008,7,17.12,7.22,11.08
"NWT","d1","cr23x",2008-07-25,16.43,7.56,11.37,2008,7,16.43,7.56,11.37
"NWT","d1","cr23x",2008-07-26,15.87,8.67,11.47,2008,7,15.87,8.67,11.47
"NWT","d1","cr23x",2008-07-27,16.52,8.4,11.55,2008,7,16.52,8.4,11.55
"NWT","d1","cr23x",2008-07-28,13.66,6.227,9.14,2008,7,13.66,6.227,9.14
"NWT","d1","cr23x",2008-07-29,13.91,5.498,9.38,2008,7,13.91,5.498,9.38
"NWT","d1","cr23x",2008-07-30,16.25,8.67,11.88,2008,7,16.25,8.67,11.88
"NWT","d1","cr23x",2008-07-31,18.75,9.34,12.86,2008,7,18.75,9.34,12.86
"NWT","d1","cr23x",2008-08-01,19.98,9.52,14.5,2008,8,19.98,9.52,14.5
"NWT","d1","cr23x",2008-08-02,18.4,6.357,12.16,2008,8,18.4,6.357,12.16
"NWT","d1","cr23x",2008-08-03,16.64,5.837,10.53,2008,8,16.64,5.837,10.53
"NWT","d1","cr23x",2008-08-04,16.7,7.3,10.19,2008,8,16.7,7.3,10.19
"NWT","d1","cr23x",2008-08-05,14.56,6.178,9.77,2008,8,14.56,6.178,9.77
"NWT","d1","cr23x",2008-08-06,13.72,4.33,8.66,2008,8,13.72,4.33,8.66
"NWT","d1","cr23x",2008-08-07,8.55,3.68,5.944,2008,8,8.55,3.68,5.944
"NWT","d1","cr23x",2008-08-08,11.72,6.07,8.09,2008,8,11.72,6.07,8.09
"NWT","d1","cr23x",2008-08-09,14.19,5.917,7.84,2008,8,14.19,5.917,7.84
"NWT","d1","cr23x",2008-08-10,10.7,2.541,7.03,2008,8,10.7,2.541,7.03
"NWT","d1","cr23x",2008-08-11,12.31,3.622,7.37,2008,8,12.31,3.622,7.37
"NWT","d1","cr23x",2008-08-12,13.75,5.843,9.2,2008,8,13.75,5.843,9.2
"NWT","d1","cr23x",2008-08-13,12.98,6.207,8.68,2008,8,12.98,6.207,8.68
"NWT","d1","cr23x",2008-08-14,10.2,1.924,5.484,2008,8,10.2,1.924,5.484
"NWT","d1","cr23x",2008-08-15,2.424,-1.882,0.028,2008,8,2.424,-1.882,0.028
"NWT","d1","cr23x",2008-08-16,1.316,-2.035,-0.236,2008,8,1.316,-2.035,-0.236
"NWT","d1","cr23x",2008-08-17,5.798,-2.137,1.138,2008,8,5.798,-2.137,1.138
"NWT","d1","cr23x",2008-08-18,9.4,1.813,5.078,2008,8,9.4,1.813,5.078
"NWT","d1","cr23x",2008-08-19,13.43,4.025,8.06,2008,8,13.43,4.025,8.06
"NWT","d1","cr23x",2008-08-20,14.12,7.41,9.39,2008,8,14.12,7.41,9.39
"NWT","d1","cr23x",2008-08-21,14.95,6.864,10.44,2008,8,14.95,6.864,10.44
"NWT","d1","cr23x",2008-08-22,16.02,5.778,10.04,2008,8,16.02,5.778,10.04
"NWT","d1","cr23x",2008-08-23,16.23,5.559,10.04,2008,8,16.23,5.559,10.04
"NWT","d1","cr23x",2008-08-24,15.58,5.919,9.58,2008,8,15.58,5.919,9.58
"NWT","d1","cr23x",2008-08-25,15.47,5.545,9.05,2008,8,15.47,5.545,9.05
"NWT","d1","cr23x",2008-08-26,14.55,5.404,8.75,2008,8,14.55,5.404,8.75
"NWT","d1","cr23x",2008-08-27,13.04,5.632,9.09,2008,8,13.04,5.632,9.09
"NWT","d1","cr23x",2008-08-28,15.25,6.679,10.82,2008,8,15.25,6.679,10.82
"NWT","d1","cr23x",2008-08-29,15.03,6.105,9.38,2008,8,15.03,6.105,9.38
"NWT","d1","cr23x",2008-08-30,16.63,6.633,10.21,2008,8,16.63,6.633,10.21
"NWT","d1","cr23x",2008-08-31,15.88,6.289,8.52,2008,8,15.88,6.289,8.52
"NWT","d1","cr23x",2008-09-01,12.76,-1.167,5.555,2008,9,12.76,-1.167,5.555
"NWT","d1","cr23x",2008-09-02,8.72,-0.963,1.773,2008,9,8.72,-0.963,1.773
"NWT","d1","cr23x",2008-09-03,10.28,1.094,5.178,2008,9,10.28,1.094,5.178
"NWT","d1","cr23x",2008-09-04,7.34,-1.161,2.623,2008,9,7.34,-1.161,2.623
"NWT","d1","cr23x",2008-09-05,7.44,-1.778,2.016,2008,9,7.44,-1.778,2.016
"NWT","d1","cr23x",2008-09-06,7.71,-1.971,2.472,2008,9,7.71,-1.971,2.472
"NWT","d1","cr23x",2008-09-07,11.4,2.008,5.296,2008,9,11.4,2.008,5.296
"NWT","d1","cr23x",2008-09-08,10.4,-0.032,5.516,2008,9,10.4,-0.032,5.516
"NWT","d1","cr23x",2008-09-09,13.56,2.868,6.477,2008,9,13.56,2.868,6.477
"NWT","d1","cr23x",2008-09-10,6.606,0.241,2.614,2008,9,6.606,0.241,2.614
"NWT","d1","cr23x",2008-09-11,7.67,-1.881,1.122,2008,9,7.67,-1.881,1.122
"NWT","d1","cr23x",2008-09-12,-0.406,-3.831,-2.103,2008,9,-0.406,-3.831,-2.103
"NWT","d1","cr23x",2008-09-13,7.37,-2.857,0.911,2008,9,7.37,-2.857,0.911
"NWT","d1","cr23x",2008-09-14,7.67,-1.084,2.419,2008,9,7.67,-1.084,2.419
"NWT","d1","cr23x",2008-09-15,10.59,0.257,4.676,2008,9,10.59,0.257,4.676
"NWT","d1","cr23x",2008-09-16,12.44,2.76,6.389,2008,9,12.44,2.76,6.389
"NWT","d1","cr23x",2008-09-17,NA,NA,NA,2008,9,12.4014285714286,2.83378571428571,6.40164285714286
"NWT","d1","cr23x",2008-09-18,NA,NA,NA,2008,9,12.3628571428571,2.90757142857143,6.41428571428571
"NWT","d1","cr23x",2008-09-19,NA,NA,NA,2008,9,12.3242857142857,2.98135714285714,6.42692857142857
"NWT","d1","cr23x",2008-09-20,NA,NA,NA,2008,9,12.2857142857143,3.05514285714286,6.43957142857143
